label,Post_Preprocessed_Comments
neutral,proyek kereta cepat jakarta bandung whoosh baik panjang hingga surabaya khawatir beban utang timpang bangun rupa pandang valid cermin khawatir publik lebih luas kena prioritas bangun infrastruktur indonesia pandang tekan prinsip negara satu republik indonesia nkri bukan pulau jawa bangun rata seluruh wilayah perintah sedang laku studi layak feasibility study rute baru bandung surabaya serta rute jakarta bandung studi evaluasi layak ekonomi dampak sosial panjang sebut perintah sedang timbang opsi dana beda proyek masuk potensi partisipasi swasta kurang beban utang negara cari alternatif paling layak finansial debat putar proyek cakup beban utang khawatir kena tingkat beban utang negara panjang guna skema dana sama proyek whoosh tahap pertama perata bangun penting alokasi anggar bangun luar pulau jawa kurang timpang pasti tumbuh inklusif seluruh pulau sesuai semangat nkri prioritas infrastruktur tanya kena bangun kereta cepat prioritas utama banding butuh infrastruktur dasar lain daerah pencil putus akhir kena panjang proyek kereta cepat gantung hasil studi layak diskusi dalam perintah parlemen mang penting imbang manfaat ekonomi adil sosial lanjut fiskal
negative,khawatir banyak suara ekonom analis bijak publik indonesia argumen tolak panjang proyek kereta cepat whoosh surabaya akar isu utama beban utang timpang bangun beban utang tambah bengkak biaya proyek eksisting proyek whoosh jakarta bandung alami bengkak biaya signifikan kira awal negosiasi utang tiongkok langsung cari skema baik masuk opsi panjang tenor pinjam hingga 60 tahun alam timbul khawatir panjang rute tambah beban finansial besar risiko fiskal ahli ingat paksa panjang rute kaji matang risiko tambah beban anggar negara apbn bumn kait akhir beban uang negara seluruh khawatir utang risiko gagal bayar dapat tiket nilai cukup tutup biaya operasional bunga pinjam kaji ulang perlu anggota dpr ekonom minta rencana panjang kaji ulang dalam hindar potensi utang jumbo baru timpang bangun fokus pulau jawa kritikus dapat proyek proyek infrastruktur besar pusat pulau jawa kereta cepat dalam timpang bangun antardaerah indonesia anggap bangun pulau jawa bukan bangun indonesia seluruh alih sumber daya khawatir fokus alokasi sumber daya besar proyek jawa kurang perhati anggar bangun infrastruktur penting wilayah luar jawa mungkin lebih butuh wilayah timur indonesia prioritas butuh rakyat beberapa pandang nyata proyek biaya fantastis mungkin layan segmen tentu perlu timbang orientasi butuh rakyat lebih luas masuk sedia layan dasar infrastruktur daerah pencil singkat khawatir utama panjang whoosh surabaya ulang buruk masalah uang abai prinsip perata bangun nasional
negative,beres utang whoosh jokowi luhut jangan bawa bawa rakyat indonesia
neutral,116 t negara besar indonesia kok ngoyo tebang pohon jati alas roban cukup
negative,lum ikn wi wi plonga plongo sok an pinginya gaya an biar puji
negative,otak kosong ngatur negoro miskin tau diri endingnya birit lari takut
neutral,nyimak ngopi
negative,kereta cepat identik cepat bangkruut
neutral,batalin rencana proyek tanggul laut utara jawa bangun kereta cepat bandung surabaya urus utang atur aja penting jangan ambil anggar mbg ikn
negative,paling akai apbn hidup koruptor proyek
neutral,betul menkeu bisnis to bisnis lagipula jg pihak guna dana konsorsium bumn negara diseleseikan bareng to jadi nilai proyek dasar angka uang semata timbang manfaat publik hasil komprehensif koneksitas antar kota makin mantap lanjut tahap hingga hubung surabaya pasal investasi infrastruktur jangka panjang sekaligus indonesia paksa transfer teknologi ajar spt dulu china pertama beli jepang
negative,jokowi suruh bayar yg ngutang yg bikin bijak mosok rakyat yg urun
neutral,tanya siapa yg beres
negative,ingat whoosh b to b jangan ngrepoti apbn usaha komersil bukan sosial kata paklek jokowi sibuk cari bahasa yg tepat belok tanggung jawab negara
negative,kalau bener samapi sepri pak prabowo hadeh simalakama pak mana yg kata nya macam asia
negative,jokowi luhut yg bayar proyek ugalan sok keminter ego busuk yg ambisi besar
negative,bumn uang rakyat indonesia jangan bodoh rakyat terus terus
negative,usah bangun kereta cepat jkt surabaya ruwet
negative,penting duga korupsi nya jelas kesalahan2 bijak
negative,lbp rini sumarno jkw srimul wajib tanggung jawab
negative,jangan enak aja bicara rakyat indonesia sengsara
negative,maling uang rakyat indonesia tetap maling tetap maling tetap maling
negative,benar pak menkeu whoos bayar pake apbn tanggung jawab yg punya ambisi jokodog
neutral,berani tp siapin antisipasi depan gk cuma bangun dg utang trus lepas tangan
negative,ketua dewan awas danantara erick thohir bumn ribu trilyun uap menteri erick thohir timnas pssi gagal ketua umum erick thohir lg ditggu prestasi menpora erick thohir
neutral,gpp bayar usut tuntas duga korupsi jngan cuma uap
negative,malu konoha
negative,yg penting luhut joko termul nya buang dulu nusakambangan insya allah beres semua nya
neutral,coba suruh bayar sama orang dlu pernah bilang kantong 11 ribu triliun
neutral,apa beda mrt lrt kereta bandara tol luar pulau jawa untung apa gak ngotak lah
negative,apa semua kosong
negative,ngomong gak jelas narsumnya udah rugi mau panjang rugi surabaya
negative,bayang jokowi udah ngasih tagih buat cucu lo bom lahir bayar sisa nya
neutral,berani buat berani tanggung jawab
neutral,kata wowo kecil utang whoosh mbg aja 300an triliun per tahun
positive,jangan proyek kereta cepat proyek kereta cepat jakarta surabaya batal next project nasa versi indonesia indonesia kirim astronot bulan masak indonesia payah ga astronot bulan
negative,prabowo legenda hidup
negative,rakyat jerat pinjol perintah jerat pinjol negara macam apa
negative,sama klo omon2
negative,semua pensiun lama rencana ikan sangon hasil semua pensiun orang masyaallah kecil perhati nya sekarang masalah kerta api cepat bayar hutang nya semua pensiun sisi rencana sangon kalau banding kerta cepat sama orang lama abdi diri lama 38 tahun perhati bayar hutang bank pensiun miskin banyak masalah pensiun indonesia merdeka
negative,berlomba2 maling uang negara
negative,termul mungkin banyak makan project kembali lah
negative,kalian yg mulai kalian yg tanggung jawab ingat b to b kalo lihat rugi baik kalian periksa biar lelang aja gt manajen yg lebih layak mampu
negative,rakyat gak ikhlas apbn dipake bayar utang woosh dulu ingat ngeyel sekarang mau lari tanggungjawab
negative,tdk perlu pusing tdk salah salah klu bgs mau jujur konsisten dn maju cek ricek kpk polri jaksa semenjak bentuk kpk sdh berapa hsl kasus korupsi yg d tangan kpk dn sdh ratus terliyun brg sita dr koruptor d mana uang dn brg hasil sita dr koruptor jgn maling ketemu garong
negative,whoosh banggan mulyono yg bayar utang
neutral,batu
negative,gara gara si jokowi si ahli leges tinggal nya yg harap jadi pahlawan sejarah bangun niat citra malah jadi bikin susah presiden ikut
negative,kalo mau beres aset si jokowi tarik buat bayar hutang
negative,dpr remeh kasus whoos anggap biasa memang mental koruptor
negative,utang 116 trilyun gede mana sama rugi pertamina duit bumn jangan jadi bancak buat biyaya partai politik
negative,dpr banyak reses
negative,lebih mending bikin cepat antar provinsi ngapain bikin kereta cepat antar kota jawa doang aja
negative,mas haji kowi yg pesta mas haji wowo yg cuci piring
negative,pak purbaya hati2 jangan nurutin yg benar bayar wus proyek wus bangga2an bukan bangga rakyat indonesia umum sekali slamatkan uang rakyat jangan nurutin orang2 rakus
positive,whoss nyambung jakarta bandung surabaya hidup pak jkw hidup pak prabowo lanjut
negative,indonesia 120 triliun 150km arab saudi 120 triliun 1500 km
neutral,semua karna cost overrun perintah tau apa yg baik laku ga perlu gaduhh klo ribut begini spt indikasi main politis semua pura peduli
negative,dy putus kayax duit pribadi je ga mikirkan beban anak cucu depan bukan usut khianat malah kasi hati ntar sapa pimpin depan krlian bakal minta tanggung jaeaban ga kmana2 kelian ga tenang kelian sukur2 ga hukum mati kelian hya sita smua aset kelian klo hukum koruptor luar kelian tau sendiri sadis sharusnya 75m 2t logika ga nyampe
negative,serah jokowi luhut punya proyek biar bayar jangan beban rakyat
negative,mul mul rakyat banyak miskin kok gaya gaya sekarang punya utang kereta cepat 120 triliun ternak kumpulin suruh bayar
negative,yg bangga kreta cepet kan jokowi mania yg bayar tuju rakyat indonesia harusmya jokowi dinasti termul yg bayar hutang jangan enak aja mau
negative,jakarta bandung udah ngos2an
neutral,mending aktipkan jalur jalur rel yg lama
neutral,dlm kondisi uang negara saatini perlu kereta api cepat lanjut surabaya tunggu dulu uang negara stabil kereta api cepat sangat butuh saat banding butuh sektor
neutral,utang ny kecil sekali hehe
neutral,dpr
positive,terus dukung k cepat wajib beres atas perintah presiden k cepat sby jkt wajib lanjut daulat ri
negative,suruh si beruk lulus ugd ternak nya lunas
neutral,utang bayar negara tp proses hukum atas duga mark up duga korupsi tetap selidik utk cari siapa yg tanggung jawab
negative,ini resiko orang presiden negara demokrasi jangan coba2 putus suatu proyek atas mau nya pribadi ngotot laku studi layak data akurat spy masalah belakang hari spt jadi kcic ikn
negative,awas hati2 prabowo me hetujui dana apbn prabowo sama jilat uang rakyat jkw luhut kroni2nya
negative,pikir prabowo punya mukjizat asal bilang beres lalu beres
negative,rezim 10 tahun kemaren isi jahat semua ayo dong usut tuntas kpk mana kpk
negative,pak lh bilang barang busuk arti beliau tahu betul busuk nya apa ayo pak buka semua
neutral,nama hutang selesai hrs bayar bs dg nyicil pokok bunga byr bunga grace period dg byr pokok jadwal scr periodik cuman opsi restructuring reshefuling reconditioning itu usul pakat dua belah pihak
negative,kalian pikir bumn pt kai bukan milik negara milik nenek moyang mulyono pt kai uang negara pemyertaan modal negara apa pt kai layan p jawa
negative,gaji anggota dpr sj alih woosh
neutral,terus papua whoosnya
negative,penjara semua yg markup proyek baru opsi bayar apbn d timbang
negative,ambil uang koruptor gak usah pusing dg butuh utk ka cepat
neutral,hutang tanggung jwb negara bukan tanggung jawab jokowi
positive,lebih bagus buat jakarta srbya bap indonesia negara besar biar maju trs hrs kuat
negative,henti mbg pake bayar utang guru politik nya prabowo
neutral,iya nama hutang bayar ga malu ri ga bayar negara gede
negative,rocky g perintah prabowo perintah cuci piring
negative,whoose ikn bener bener 10th pengancuran nkri
negative,yg kudu kasih tanda kutip mustinye kata beres beresss boss semua atur tenang aje jalan2 aje lage luar negeri
negative,sita dulu yg korupsi baru buat bayar hutang
negative,dpr perintah jangan coba2 untk ambil uang rakyat apbn rakyat rela marah
negative,buat sesuwatu sesuai mampu tdk nafsu ambisi kl sampe korupsi sama
neutral,nah begini cari sama sama solusi nya
negative,ngakunya wakil rakyat rangkap buzzer
negative,suruh bayar mulyono yg sok pinter sendiri akhir yg tanggung hutang negara yg tanggung rakyat si raja gorong2 si raja bual yg tanggung jawab janga citra yg handalkan sangat muak kan si gorong2
neutral,ooh jadi mau saing sama pesawat terbang gimana efek usaha garuda indonesia kl jadi kareta cepat terus kesurabaya
negative,anggota dpr koq jadi jubir jokowibukannya bela rakyat tugas anggota dpr usut tuntas sinyal beres dsri proyek imi bahkan ex ketua tim lbp bilang awal barang busukkkkk
negative,jokowi suruh tanggung jawab dulu baru lanjut krn duga mark up situ makanya walaupun rugi cina santai2 aja tuh krnbuat cina untung rugi ditutupin indonesia dmua
negative,benar hutang kereta cepat msh ratus triliun coba banding koruptor minyak kelas kakap orang yaman si riza cholid capai ribu triliun
negative,sekarangjadi masalah bayar hutang kcic dulu bagaimana hadir gagas laksana bentuk kcic minta tanggung jawab hukum jangan ribet bayar hutang dulu
neutral,tv one suruh aburizal beyar
negative,menteri buang
negative,engga rakyat ga ga macam2 cuma ambisi jokowi biar banyak pintu korupsi
negative,bangga buat angota dpr bangga buat masyarakan ekonomi bawah
negative,keledai jerumus lubang sama
negative,dasar nyata resmi bpk jokowi pas jadi presiden whoosh skema bisnis b to b kha kok negara jadi kalang kabut
negative,solusi baik masalah kcic suruh jokowi bayar hutang proyek ambisius
negative,kalau korupsi jokowi sita aja aset bayar utang
negative,karna prestasi mulyono suruh tanggung jawab lah sekaligus suruh patungan sama ternak kan ternak banyak duit lama biaya sama tua
negative,nikmat whooss orang orang kaya aja
negative,semua ulah jokowers usak sistem negara mantan perisiden buruk panjang masa indonesia
negative,jokowi tukang ngibul wajib selesai utang kereta whoosh
negative,memang negara kl gk nekat gk maju maju cuma hrus difikirkn anggar juragan jng kpngn ikutaan negara tp pjabatnya msh pd punya jiwa korup yg mlh amburadul cerdas bpk2 pjabat smua
neutral,usut tuntas
negative,seret jokowii suruh bayar
negative,duh repot
